true_sentiment,ticker,paraphrased_array
Negative,GBPUSD,. gbccd break below 11920 could fuel more downward pressure. ocb..
Neutral,GBPUSD,. gbpusd more range trading around the 120 point may develop. scotia..
Neutral,GBPUSD,. gbpad price analysis sticks to gains over 12000 mark 200 dma is the key for bulls.
Negative,EURUSD,. eurusd push under 10580 might see a bit more downward pressure develop. scotia..
Negative,USDJPY,..jpy price analysis flirts with daily low around 13600 mark amid weaker..
Neutral,EURUSD,.. is the us ism services pmi and how would it affect eulan?.
Positive,EURUSD,. eurusd price analysis bulls need to clear the 55day sma.
Positive,EURUSD,. eurusd - potential 112 by end2023 and 116 by end2021. abn amro.
Neutral,GBPUSD,. gbpusd remains near 12000 after us data is flat for the week.
Neutral,AUDUSD,. audud consolidates at around 0600 for the week with traders eyeing fed..
Positive,USDJPY,..jpy holds the 200 hour ma for the 3rd time in 6 days.
Negative,USDJPY,..jpy price analysis retraces toward 13600 on soft..
Positive,EURUSD,. forex today dollar ends four week positive streak ahead of nfp week.
Positive,EURUSD,. usd drops further late on friday extending daily..
Positive,EURUSD,..rusd regained 10600 extending its gains due to a soft us..
Negative,AUDUSD,..dsd dips to below 100 hour / 100 day ma after ism data.
Positive,AUDUSD,. a is is coiled and it gives us plenty of risk events this week including the rba.
Neutral,EURUSD,. eurusd price analysis bulls eye a test of bears commitments near n..
Positive,EURUSD,..b's lagarde eurozone inflation will stay high in nearterm so a 50 bps rate hike is increasingly..
Neutral,GBPUSD,. gbpusd price analysis cable retreats towards resistance reduced support near 1200..
Negative,USDJPY,..jpy price analysis bears in charge while below 136..
Negative,AUDUSD,. audusd price analysis pullback from 50ema highlights 06720..
Neutral,AUDUSD,.. announced its annual growth target to be..
Positive,EURUSD,..rusd grinds up to p00 ahead of eurozone retail. focus on fed chair powell us n..
Negative,GBPUSD,. gbpusd is. below 12050 as brexit optimism fades uk. data fed chair powell..
Negative,USDJPY,. usdjpy traces sluggish yields below 1360 fed's powell boj's kuroda in the..
Neutral,AUDUSD,. china's ndrc economy steadily..
Neutral,AUDUSD,. audusd looks to regain 06800 amid mixed china news rba vs fed play us nfp..
Neutral,EURUSD,. eurusd price analysis 100sma probes buyers amid slowgish start to the key..
Neutral,GBPUSD,. gbzd consolidates in a range of steady above 12000 mark amid softer..
Neutral,EURUSD,. eurusd faces further consolidation in termite u..
Neutral,GBPUSD,. gbpus is expected to trade within 1192512120. u..
Negative,EURUSD,..b's centeno interest rates have risen too..
Positive,AUDUSD,. audusd weak phase over the u..
Neutral,USDJPY,. usdjpy trades with modest losses amid softer usd downside seems..
Neutral,AUDUSD,. audusd holds up above mid06700s remains confined in a familiar trading..
Neutral,AUDUSD,. rba : the downside risk for aud is a dialdown of the hawking rhetoric of ocb..
Neutral,EURUSD,. eurusd probably ends march in the 10708 area...
Neutral,USDJPY,. usdjpy now faces some range bound trading with u..
Neutral,EURUSD,. euccd resistance at 1066080 support at 1058080 iscb..
Positive,EURUSD,. eurusd extends the bounce to the 10660 region usd...
Negative,EURUSD,..zone sentix investor confidence index worsens to 111 in march vs 86..
Negative,EURUSD,. eurozone retail sales decline 23 yoy in february vs 19..
Negative,GBPUSD,. gbpusd potential descending triangle could be formed with support at n0 levels. ocb..
Neutral,EURUSD,. eurusd moderately positive mediumterm not optimistic longterm positive commerz..
Neutral,GBPUSD,. this week it is hard to find a uk catalyst for sterling to break out of the ranges...
Positive,AUDUSD,..a preview forecasts from 9 major banks hiking for the fifth time by 25 bp..
Negative,USDJPY,. usdjpyp scope is dimini increasing. muf..
Negative,EURUSD,. eurusd january low of 1048010440 is important support zone for soc..
Neutral,EURUSD,. eurusd price analysis gains remain capped by the 55 euro sm..
Neutral,USDJPY,. usdjpy december peak of 13770 13810 must be overcome to affirm a larger rebound of soc..
Negative,AUDUSD,. rba and a less hawkish message could weigh modestly on the aussie. muf..
Neutral,USDJPY,..jpy andffles above and below the 200 hour..
Neutral,EURUSD,..rusd stays above 100 hour ma but it has some work to do.
Negative,EURUSD,. eurusd scope for dips below the sea level into the middle of the year. rabo..
Positive,EURUSD,. eurusd euro could enjoy some appreciation in the second half of the year. n..
Negative,GBPUSD,. gbisd turns negative with the at 12000 below the 100dm..
Neutral,AUDUSD,..a preview three scenarios and their implications for audsd and td..
Positive,EURUSD,. eurusd firm above 10650 approaches last week..
Neutral,GBPUSD,..vd pushes toward the 100 day ma and stalls the fall.
Positive,EURUSD,..rusd moves up to test the high from last..
Negative,GBPUSD,..pusd pushed by late us dollar comeback and central bank tie bubble..
Neutral,EURUSD,. forex today markets remain choppy as powell takes centre stage.
Neutral,AUDUSD,. idsd levels in play through rate decision.
Positive,AUDUSD,. thedsd extends recovery to 06730 as rba looks to stretch rates..
Positive,GBPUSD,. gbpusd price analysis bulls travel through a bumpy road past 1200..
Neutral,EURUSD,. eurusd price analysis. 10700 amid the riskon..
Neutral,USDJPY,. usdjpy fluctuates at around 13590s ahead of powell's..
Neutral,AUDUSD,. aussie trade balance leaves audusd..
Neutral,AUDUSD,. audsd grinds past 06700 on mixed australia trade numbers rba fed chair powell..
Negative,EURUSD,. eurusd eases below 10700 as fed chair powell's testimony cloudoms.
Neutral,GBPUSD,. gbpusd gyrates in a bounded range above 12000 as of powell's testimony hogs lime..
Neutral,AUDUSD,. analysts see possible china rrr cut..
Neutral,USDJPY,. usdjpy price analysis recovery needs validation from 13650..
Neutral,AUDUSD,) china's qin we resolutely oppose all forms of hegemony cold war mentality.
Positive,AUDUSD,. australias pm albanese the relationship with china has improved.
Neutral,AUDUSD,.. rba hikes oc by 25 bps to 360 in march as..
Negative,AUDUSD,. idisd fall dropss towards 06700 even as rbs drops interest rate by 25 bps feds powell..
Neutral,AUDUSD,..a the monthly cpi indicator indicates that inflation has peaked in..
Neutral,AUDUSD,. china's januaryfebrue trade balance surpluses as imports plum..
Neutral,EURUSD,. eurusd is set to test p00 ahead of for powell's testimony and us..
Positive,GBPUSD,. gbpusd price analysis bulls keep the reins near 12050 within ascending..
Negative,AUDUSD,. audsd price analysis prone to sheer downside below 06700 despite hawkish rb..
Neutral,USDJPY,. usdjpy hovers around 13600 as investors eye fed powell's testimony and boj..
Positive,EURUSD,. eurusd door open to a probable move to 1070. u..
Negative,GBPUSD,. gbpusd faces further consolidation in termite u..
Neutral,EURUSD,. eurusd might nudge back to the lower end of the 1060010700 range...
Neutral,USDJPY,. usdjpy now points to further range bound of u..
Negative,GBPUSD,. gbpusd fors modest intraday gains is near daily low ahead of powell's..
Negative,AUDUSD,. aubiad dives as rba's statement not restrictive enough for the market. bankmerz..
Neutral,EURUSD,. ecbs de cos spain's core cpi to stay high in the shortterm then ease..
Negative,AUDUSD,. autd weakens further below 06700 mark fresh ytd low north of powell's..
Negative,EURCHF,. eusef too early for a sustainable jump above parity. bankmerz..
Positive,GBPUSD,. boes mann i think more needs to be done with..
Negative,EURUSD,. eudud appears at near 10660 looks at..
Neutral,EURUSD,. battle between eur and usd is not from decided. bankbz..
Neutral,USDJPY,..j.. for firm direction stuck in a range around n0 ahead of feds..
Negative,AUDUSD,. dovish rba : frustrates aud bulls. pro..
Negative,GBPUSD,. gbpusd under threat if powell and us nfp elicit fresh dollar buying this week. soc..
Negative,GBPUSD,. gbpusd price analysis slides below 12000 amid modest usd strength ahead of fed's powell.
Neutral,USDJPY,. usdjp could hang around 135137 through march and back lower in h2 -..
Negative,EURCHF,. eurcha to suffer a substantial drop on a break below 0984009830. soc..
Negative,AUDUSD,. autd adds to post that losses fall dropss to fresh ytd low ahead of fed's powell.
Negative,GBPUSD,. gbtld to stay on through march returning to 123125 for summer...
Positive,EURUSD,. eurusd price analysis bulls need to clear the 10700 region.
Neutral,AUDUSD,. auvied to remain on the back foot into the middle of the year climbing back to 070 by end0p by rabo..
Positive,USDJPY,. usdjp soars toward 13680s on powell's hawkt..
Negative,EURUSD,. eurusd tumbles toward 10580 as dxy jumps on jim powell's remarks.
Negative,EURUSD,..rusd corrects back to the 200 hour ma. finds sellers..
Negative,GBPUSD,..fon plunges below dial0 on hawkish remarks by federal reserve chairman..
Negative,AUDUSD,. audusd falls heavily as bears move in towards the 06580s target..
Positive,EURUSD,..b knot ecb can be expected to raise rates for some time after..
Negative,EURUSD,. eurusd is still losing ground into late us trade bears hungry for more.
Negative,EURUSD,..rusd continues the run lower..
Negative,AUDUSD,. forex today dollarors welcome hawkish and volatility to stay.
Positive,USDJPY,the.jpy price analysis bulls eye a break of 200 dma and eye n20s.
Neutral,AUDUSD,..a's lowe closer to stopping on rate hike..
Negative,AUDUSD,. autred is pressured at fourmonth low under 06600 as rba's lowe sounds do..
Negative,EURUSD,. euracd price analysis bears on two month old support near r0 to keep the..
Positive,AUDUSD,..a's lowe china reopening is positive for our economy.
Negative,GBPUSD,) gbpusd price analysis more downside looks inevitable on double top breakdown at 118..
Positive,USDJPY,..jpy rises to 1370 on hawkish fed powell's remarks boj policy and us job data in..
Negative,AUDUSD,. audusd price analysis should appearinsed to approach 06540..
Negative,EURUSD,. eurusd declines towards 1050 as fed's powell endorses more..
Neutral,GBPUSD,. gbfod steadies above 11800 at 35month low amid brexit fed chatter..
Neutral,USDJPY,..c announces bondbuying operation on..
Positive,USDJPY,..jpy price analysis 200dma prods bulls at three month high amid overbought rsi.
Negative,AUDUSD,. autard eyes more downside below 06570 on rba lowe's less hawkish..
Negative,GBPUSD,. gbsd price analysis downside resumes as yields so fall. fears of bigger rates from..
Negative,AUDUSD,..dusd breaks to a new low. moves away from the 50 low lowpoint at 0. 666..
Neutral,USDJPY,. boj will end ycc in 2023 but tweak this week. economists say in reuters poll.
Negative,EURUSD,. eurusd refreshes multiday low under 10550 as fed's powell widens yield curve to ecb's lagarde..
Positive,AUDUSD,. audd price analysis.s off 13dayold support line to aim for 0660..
Negative,EURUSD,. eurusd could slip back below 1000 00. u..
Negative,EURUSD,. german retail sales plunge 69 yoy in january vs 61..
Positive,EURUSD,. german industrial production jumps 35 mw in january vs 14..
Negative,GBPUSD,. gbpusd faces the next support at v50. u..
Positive,USDJPY,..jpy falls to gains near its highest rank since middecember just above 200day sm..
Negative,EURUSD,. forex today hawkish powell lifts us dollar to themonth highs ahead of us..
Negative,AUDUSD,. audud risks further downside in term of u..
Negative,EURUSD,. eurusd is very limited on the upside of bankmerz..
Positive,USDJPY,. inj. the 13820 region now emerges on the horizon. u..
Negative,GBPUSD,. gbpusd hags near ytd low remains vulnerable below 200 dma amid bulling..
Negative,AUDUSD,. the audisd buyers fail. price is back below the 100 hour and 100 day..
Negative,AUDUSD,. aucord to extend its slide toward 06400 by end q1 with credit sui..
Neutral,EURUSD,..b's visco monetary policy will have to remain prude..
Positive,EURUSD,. eurusd 10500 can be broken today or tomorrow...
Neutral,GBPUSD,. boes dhingra overtighting is a more material risk at this..
Negative,EURUSD,..rusd.s off 2month lows near 105. looks at powell..
Neutral,AUDUSD,. audsd clings to modest recovery gains around x600. potential seems..
Negative,EURUSD,. the rate outlook seems to offer more usd potential. bankmerz..
Negative,GBPUSD,. gbpusd target for double top pattern is near 11230 11101 soc..
Negative,USDJPY,. usdj : bearish to of the cross at 125 in three months. dans dans bank.
Negative,EURUSD,. eurusd needs to hold key support at 1048363 to avoid a top tier credit sui..
Neutral,EURUSD,.. is the us ad who employment report and how could it affect eurus?.
Negative,GBPUSD,. gbpusd to close below the 11841 january low to signal a much deeper market off to credit sui..
Negative,AUDUSD,. aucad will close below key levels at 06628 to open up a much deeper move below than credit sui..
Neutral,USDJPY,..j. flirts with daily low despite official us t. report holds above 13700..
Negative,EURUSD,. eurusd price analysis further losses could retest the 202 s..
Negative,EURUSD,. eurusd could fall below 105 if the fed delivers a larger 50 bps hike this month. muf..
Negative,USDJPY,..jy moves lower and toward the cluster of..
Negative,GBPUSD,. gbpusd is subdued around 11840s after printing a ytd low around 118..
Neutral,USDJPY,. usdjpy hangs in the balance of key us data.
Neutral,EURUSD,. eurusd seesaws around 10540s shy of the 200dma at 105..
Negative,AUDUSD,. audisd price analysis bears as a break to 0652..
Neutral,EURUSD,. forex of dollar firm after powell ahead of n..
Negative,AUDUSD,. audsd has higher position near sunday low at 06600 ahead of china..
Neutral,EURUSD,. eurud price analysis support structure stands in the way of a full blown..
Negative,GBPUSD,..pad slows from 11850 as riskoff mood slow to tight us labor..
Neutral,GBPUSD,... uk to avoid recession this year but outlook still strong.
Neutral,GBPUSD,.. finance ministry uk to launch review into attracting more stock market..
Neutral,USDJPY,. japanese gdp q4 01 exp 08 prev 06 usdjpy..
Negative,USDJPY,. usdjpy bears testing 13700 after japan..
Negative,EURUSD,. eurusd steadies near 10550 as ecb fed policymakers repeat hawkish..
Negative,AUDUSD,. audusd is vulnerable near 06600 as us labor market solidifies. to cpi..
Neutral,USDJPY,..jpy trades between 200 day ma above and 100 day ma below ( and 100 / 200 hour mas..
Negative,GBPUSD,. gbpad price analysis is to justify bullish spinning top near perday low around 118..
Neutral,AUDUSD,. china cpi in at 10 vs 19 expected aud..
Negative,AUDUSD,. aucad bears eye 06540 support on downbeat china. us president biden's tax proposal.
Positive,USDJPY,).jpy price analysis bulls testing the 200 dma on the front side of bull..
Neutral,EURUSD,) eurusd price analysis 100dma doji candlestick prod bears around mid10500s.
Negative,GBPUSD,. gbtd attempts to surpass 11850 downside is favored as focus shifts to us n..
Negative,AUDUSD,. audusd price analysis absence of recovery signals favors more downside 06500..
Neutral,EURUSD,. eurusd extends recovery above 10550 downside seems likely as us nfp hogs lime..
Negative,EURCHF,. eusc is continues to benefit from growing optimism in europe. muf..
Negative,EURUSD,. eurusd risks a gradual decline to n8. u..
Negative,EURUSD,. eurusd not trading at stronger levels partially due to ecb long decision and bankbz..
Negative,GBPUSD,. gbpusd faces the next support around c0. u..
Negative,AUDUSD,. no support coming for the either the loonie or even the aussie in the austerm - aus..
Neutral,GBPUSD,. gbpd clings to modest gains around mid11800s amid softer usd and bullish..
Neutral,EURUSD,. eurusd to trade in a 1050010600 range for the time being...
Positive,EURUSD,..bs villeroy we will bring inflation back to 2 by end2024 or end20..
Positive,USDJPY,. usdjpy now looks at a potential visit to u20. u..
Negative,USDJPY,..jpy retreats further from ytd top amid weaker usd holds above n00..
Neutral,GBPUSD,. gbpusd 11650 certainly looks like the direction of travel...
Positive,EURUSD,. eurusd regains the smile and hops off 2month low..
Neutral,AUDUSD,. idsd clings to intraday gains above x600 mark. potential is..
Neutral,EURCHF,. eustorf snb to prevent a move below 100 % dans dans bank.
Neutral,GBPUSD,. gbpusd next catalyst likely to still come from this side of the equation focus on nfp and oc..
Negative,EURCHF,. eurchow the direction of travel is back towards the 0980009825 area over the coming months...
Negative,EURUSD,. eurusd to consolidate around 1052010580 range of ocb..
Negative,EURUSD,. us dollar to thrive as rates will stay higher for longer. rabo..
Negative,USDJPY,).jpy price analysis flirts with daily low around 13600 focus shifts to boj on friday.
Negative,EURUSD,. eurusd price analysis scope for extra weakness near term.
Neutral,USDJPY,..c preview forecasts from six major banks no change at the final meeting under kurod..
Negative,GBPUSD,. gbpusd looks toward a 100 hour moving..
Neutral,USDJPY,..jpy retests the ma..
Negative,GBPUSD,..dd faces resistance at 11830 after rebounding off ytd lows at 11800..
Positive,EURUSD,. eurusd pushes against swing area..
Neutral,EURUSD,. eurusd traders are counting down the clock to critical..
Negative,AUDUSD,. audusd price analysis bears on the prowl below key..
Neutral,EURUSD,..x today risk off and a mixed dollar with all eyes on n..
Negative,USDJPY,. usdj news eyes a break below 13600 as investors report fed's rate cut and boj policy..
Negative,AUDUSD,. audsd remains fragile below 06600 as us np lo..
Positive,GBPUSD,. gbpusd grinds higher at 11900 ahead of uk data. us n..
Negative,EURUSD,. eurusd price analysis offers seem possible with lack of strong in recovery near c..
Neutral,USDJPY,. japan finance minister expects boj to work closely with..
Negative,AUDUSD,. audisd price analysis looks set for a breakdown of 06580 ahead of us n..
Neutral,EURUSD,. eurusd.. 10600 as mixed us data test fed by us nf ecb's lagarde..
Negative,USDJPY,..jpy price analysis bears are moving in ahead of bo..
Neutral,GBPUSD,. gbpusd marches towards 11950 as investors ignore aggressive fed bets uk data in..
Neutral,USDJPY,. kazuo ueda approved as first bank of japan..
Neutral,USDJPY,.. is the boj rate decision and how could it affect usdj..
Neutral,USDJPY,.. boj keeps monetary policy and monetary control policy unchanged.
Positive,EURUSD,. ecb deposit rate to peak at 375 or higher as inflation gets stable thomson reuters poll.
Neutral,USDJPY,. boj inflation expectations height..
Neutral,USDJPY,. usdjpy marks 100pip whipsaw on boj to quote kuroda's farewell..
Neutral,EURUSD,..rusd price analysis bulls need validation from c50 and us nf to keep..
Negative,AUDUSD,. audd refreshes fourmont. low at 06560 as investors turn anxious for us nb..
Neutral,GBPUSD,. gbpusd price analysis of breath above 11900 downside seems..
Positive,USDJPY,. ijpy price analysis looks more upside above 13700 as boj continues ultra loose..
Neutral,GBPUSD,.. are the uk data releases and how could they affect gbtv..
Neutral,USDJPY,. boj's kuroda wont hesitate to ease monetary policy further if necessary.
Positive,USDJPY,..j's kuroda positive effects of monetary easing far exceeded sideeffect..
Positive,GBPUSD,. uk gdp falls 03 mom in january vs 01..
Negative,GBPUSD,. uk. production declines 04 mom in january vs 01..
Positive,GBPUSD,. gbfod climbs to three day top around mid11900s on morethanexpected uk..
Negative,EURUSD,. eurusd still seen grinding lower to 1045. u..
Positive,AUDUSD,. audsd recovers early lost ground to fresh ytd low climbs back to 06600 amid weak..
Neutral,USDJPY,. too much of weakness would not be justified. bankbz..
Negative,GBPUSD,. gbpusd further weakness emerges below g50. u..
Positive,EURUSD,. eurusd to surge toward 6 on soft nfp report...
Negative,AUDUSD,. audud faces a major support around x50. u..
Negative,GBPUSD,. boe monetary policy continues to put pressure on sterling. bankbz..
Neutral,USDJPY,. usdjp seems to have moved into a consolida transitional theme. u..
Positive,EURUSD,..rusd rankss with 3dx highs around 9200 ahead of us payroll..
Neutral,USDJPY,..jpy sticks to boj inspired gains is below 1370 ahead of us nfp..
Positive,GBPUSD,. gbpusd price analysis bulls equipped with 12000 mark focus remains on us nfp report.
Positive,USDJPY,. usdj a strong use of us data could reopen a move to 140 million td..
Negative,EURUSD,. eurusd prone to renewed softness on the charts. scotia..
Positive,GBPUSD,. gbpusd sustained push back above 100dma at 12017 should enhance the rebound. scotia..
Positive,EURUSD,..rusd climbs to fresh summit near 10630 postpayroll..
Positive,GBPUSD,. gbpat rallies back up to peak high around mid12000 on mixed us jobs..
Negative,USDJPY,..jpy falls to for daily lows near 13580 after n..
Positive,AUDUSD,. audsd refreshes daily top amid postn...off lacks marketthrou..
Negative,USDJPY,. usdj or a bigger retracement could be on the horizon. muf..
Neutral,AUDUSD,. audus moves up but runs into the 100 hour..
Positive,EURUSD,. eurusd further rise to 112 until mid20 2014. bankbz..
Positive,EURUSD,. eudd trades to a new session high as yields..
Positive,AUDUSD,. aucord to climb back sustainably above 070 in the second half of 202 s...
Neutral,EURUSD,. usdchf to reach 095 on a threemontn view. rabobank.
Positive,GBPUSD,". us dollar tumbles,. a technical look at the usd,f and gbpusf, the biggest movers.."
Neutral,USDJPY,the.jpi tests 134. 00 area and swing area target between 134. 068 and 134. 15.
Neutral,GBPUSD,. gbpad price analysis builds on usd weakness but fails to conquer the 200dm..
Neutral,USDJPY,..x day dxy ends week flat after powell and np ahead of us cpi wall street plunges.
Positive,EURUSD,..frd rises on high inflation data in germany as the usd sinks post us n..
Neutral,AUDUSD,. audusd price analysis h1 mforming holds the bears hostage for the open.
Positive,EURUSD,. eurusd gaps up as us dollar gets shudd in the open.
Positive,AUDUSD,. audut marches towards 06650 as fears from svb abate aussie and us inflation..
Positive,EURUSD,. eurusd price analysis bulls attack 200sma as ec. week begins with riskon..
Positive,GBPUSD,. gbpfd bulls are in the market testing bear commitments at 121..
Positive,USDJPY,..jpy tracks recovery in yields to drop off onemont of low towards 13500 us inflation boj minutes..
Neutral,AUDUSD,. audusd price analysis bulls meet channel resistance near 06600 but committed from 06600.
Positive,USDJPY,. japan's matsuno dont see big impact on japanese financial companies from smb..
Neutral,AUDUSD,..'s president xi must scolutely oppose interference of external forces invasion of taiwan.
Positive,EURUSD,) eurust bulls cheer svbled riskon mood easing hawkish fed bets to cross 10700 us inflation ecb!.
Positive,GBPUSD,. gbpusd price analysis cable bulls prod 50dma hurdle above 12100 as the key week begins.
Negative,USDJPY,..jpy price analysis yen renews one month low near 13400 as bears approach 50dm..
Positive,AUDUSD,. add surges the most in nine weeks on svb and seed riskon..
Positive,EURUSD,. eurusd price analysis bulls flirt with 10730 resistance..
Neutral,EURUSD,. eurusd now faces some nearter - merger with u..
Neutral,GBPUSD,. gbpusd outlook remains mixed for the time being. u..
Negative,AUDUSD,. autred dwindling bets for a drop to 0600 u..
Positive,USDJPY,. usdjpy faces strong support around p0. u..
Positive,EURUSD,. eurusd set to extend its coverage higher toward the 1078010800 area...
Neutral,GBPUSD,. gbpusd not operating cable over 122 km..
Positive,EURUSD,. eurusd extends the sharp bounce to 107..
Negative,USDJPY,. significant bullish disinversion of the us yield curve to put dollar higher returns..
Positive,EURUSD,. eurusd euro to benefit from the apparent failure of fed monetary policy. bankmerz..
Positive,AUDUSD,..d and cad to consolidate over the near term before strengthening later in the year. hs..
Positive,EURUSD,. eurusd strengthening trend remains firmly in place ahead of ecb policy meeting. muf..
Negative,GBPUSD,. gbbd price action looks weak for the pound. scotia..
Negative,USDJPY,. usdjpy plunges to 13350 as bearish sentiment for usd prevails.
Neutral,AUDUSD,..dst moves up to test 200 hour ma..
Neutral,GBPUSD,". what are some technical levels in play for the eurusd, usdjpy and gbpusd?."
Negative,EURUSD,. eurusd losses may extend a little more on a break under 1065. scotia..
Positive,EURUSD,..rusd price analysis bulls now look at 10800 and..
Positive,EURUSD,. euxd moves back into swing area and above 1. 07..
Neutral,EURUSD,". euryd in a volatile sideways movement around, for the time being. erste.."
Positive,GBPUSD,..zd rises to onemonth highs above c50 as dxy tumbles.
Positive,GBPUSD,. gbvd moves to new session highs and in the process extends above previous swing..
Negative,USDJPY,. jpy and eur to benefit but nzd and aud will be the biggest winners of a 1990sstyle in recession. soc..
Positive,AUDUSD,..dd soars to 0678 amid catastrophic svb bank..
Positive,EURUSD,. ecb plans to increase by 50 bps despite svb collapse. mni.
Neutral,USDJPY,..j. moves back to 200 bar ma on the 4 - hour chart.
Positive,EURUSD,..rusd bulls march up to the gates of the bear - cage ahead of us..
Negative,GBPUSD,. gbpad price analysis will for a break of structure while price slows below 122..
Negative,USDJPY,..j : bulls eye propetcs of a correction ahead of us..
Positive,EURUSD,. eurusd. cheer drops in hawkish fed bets above 100000 with eyes on us..
Positive,GBPUSD,..zd grinds near onemonth high below 12200 ahead of uk employment us..
Positive,GBPUSD,.. chancellor hunt sets. english investment zones ahead of budget.
Neutral,AUDUSD,. audsd fallss down from the 06700 mark as the market prepares for us..
Negative,USDJPY,..j..s above 13300 downside is likely as fed to keep. rate hike..
Positive,GBPUSD,..pusd price analysis bulls about to show their commitments.
Negative,AUDUSD,. audisd slides to 06650 as markets pare svbled moves ahead of us..
Positive,EURUSD,. eurusd price analysis bulls lead the pair above the 10700 mark in the us dollar..
Neutral,USDJPY,..'s suzuki closely monitoring how svb case may impact japans economy financial..
Positive,USDJPY,..jpi tracks correct the dip in yields to aim for 1340 ahead of us inflation..
Negative,GBPUSD,..frd extends downside to near g0 ahead of uk employment and us inflation.
Neutral,AUDUSD,. audsd price analysis the pair rebounds from 0660 and stalled at a trend..
Neutral,EURUSD,. eurus credit seeks cushion around r00 as fed to avoid bigger rate hikes in smb..
Neutral,GBPUSD,.. are the uk jobs and how would they affect gbtv?.
Positive,USDJPY,..jpy has the 13400 mark on a rebound ahead of us..
Positive,GBPUSD,. gbpusd sustained gains likely above 10000. u..
Neutral,GBPUSD,. uk ilo unemployment rate.adies at 37 in january vs 38..
Negative,GBPUSD,. gbpusd bounces off daily low postuk jobs data remains below 12200 amid strong..
Neutral,EURUSD,.. bank's stournaras do not see any impact from svb collapse on eurozone..
Neutral,EURUSD,. eurusd the size of the rally depends on the feds'overreat....
Negative,AUDUSD,. audusd flatlines above mid06600s amid high risk tone resurgent usd..
Negative,USDJPY,. usd index risk of another leg lower than..
Negative,EURUSD,..rusd. under pressure and pierces x km ahead of us..
Positive,EURUSD,. hawkish ecb to support eur as long as there are no contagion effects in european banking sector. bankmerz..
Negative,USDJPY,. usdjpy risks extra pullbacks in the mid term. u..
Neutral,GBPUSD,..xd trades with modest losses around mid12100s focus remains on us cpi report.
Positive,GBPUSD,. gbccd to test january 12450 highs even if the boe decides to hold it..
Positive,USDJPY,. usdj50 rebounds from 13304 ahead of tuesday's us cpi and boj's minutes.
Positive,GBPUSD,. gbpusd technical condition looks relatively strong. scotia..
Neutral,EURUSD,. eurusd sustained break above 55dma at 10719 to boost nearterm outlook. scotia..
Positive,EURUSD,. eurusd resumes the process near c50 postus..
Neutral,AUDUSD,..dsd lacks any firm direction remains confined in a range below 06700 postus..
Negative,AUDUSD,. audisd 200dma at 0678006850 likely to cap. down soc..
Positive,USDJPY,. usdjpy rises toward 13500 after us cpi fueled by treasury yields.
Neutral,EURUSD,. eurusd rebound could remain contained. soc..
Positive,EURUSD,. eurusd price analysis further upside still looks..
Neutral,AUDUSD,. add sets floor and ceiling levels in up and down..
Neutral,GBPUSD,. gbpusd trades around 12164 after the expected us cpi..
Positive,EURUSD,. eurusd could nudge closer to early february high above 108 on hawkish ecb press. at soc..
Negative,USDJPY,. usdchf and usdjpy pops will soon be faded. td..
Negative,EURUSD,. eurusd slips are below tuesday's open price of 107..
Neutral,AUDUSD,. audusd bulls run into offers near 06700 with mixed fed..
Neutral,GBPUSD,..pgd consolidates at highs. buyer and. battle in a 68 pip range..
Neutral,GBPUSD,..pfd bulls meet resistance near 122 ahead of uk..
Positive,USDJPY,. usdjpy price analysis bullish correction in full - 1350..
Positive,AUDUSD,. thedsd aims to recapture 06700 as worries for bigger fed rate hikes..
Neutral,GBPUSD,.. chancellor hunt draggedmed in by debt set to focus on growth in british budget.
Positive,EURUSD,. eurusd price analysis will find comfort above the 10700 level after the us cpi release.
Negative,GBPUSD,. gbfrd price analysis further downs to hinges on 1214 break and uk budget.
Neutral,USDJPY,. boj conference members agreed japans economy expected to recover.
Positive,USDJPY,..jpy scales to near 13450 on dovish boj minutes focus shifts to us retail..
Negative,AUDUSD,. audsd price analysis prods sixweekold resistance below 06700 as bulls run out..
Neutral,GBPUSD,. gbpusd dribbles around mid12100s as uk budget us retail. lo..
Neutral,AUDUSD,. china's janfeb retail sales jump as industrial output grows..
Positive,AUDUSD,. audusd is set to regain 06700 despite mixed china data pboc inaction.
Negative,EURUSD,. eurusd bulls are tiring ahead of ecb and after us..
Neutral,AUDUSD,. china's n sector economic operations show stabilizing and..
Positive,USDJPY,..'s suzuki its goal of government to achieve pace of wage rises higher than that of..
Negative,USDJPY,. usdjpy price analysis justifies bear cross with mild losses near 134..
Neutral,USDJPY,. boj's kuroda post - meeting there was debate on svb collapse mainly around impact on global..
Neutral,EURCHF,. eurhf to trade in a 0970000000 range following snb meeting with credit sui..
Negative,EURCHF,. eugraf a move all the way to the 09411 lows is on the cards of credit sui..
Positive,EURCHF,. euscf price analysis double bottom reversal activates as credit sui credit's fiasco..
Negative,AUDUSD,..dod falls to swing area / 100 hour..
Negative,USDJPY,..jpy ticks to a new high low in early us..
Positive,GBPUSD,. gbpusd price analysis pair rebounds from 21dma amid muted us dollar..
Positive,AUDUSD,. audsd price analysis is far from weeklyhigh above 06700 as riskon mood strengthen..
Positive,GBPUSD,. gbfrd bulls were a50 ahead of uk us consumer inflation..
Neutral,USDJPY,. boj's kuroda possible to further lower shortterm interest rate but cannot..
Neutral,GBPUSD,. gbpusd clings to the consolidative mood of u..
Neutral,AUDUSD,. auci is still seen within 0657006735. u..
